lat,long,n
40.485198974609375,-74.27824401855469,6
40.490928649902344,-74.23241424560547,15
40.50811767578125,-74.295440673828125,2
40.50811767578125,-74.18657684326172,15
40.51957321166992,-74.289703369140625,2
40.531036376953125,-74.26106262207031,2
40.531036376953125,-74.16365814208984,15
40.553951263427734,-74.243865966796875,41
40.553951263427734,-74.12928009033203,87
40.553951263427734,-73.91155242919922,112
40.553951263427734,-73.85426330566406,112
40.56541061401367,-73.95738983154297,132
40.56541061401367,-73.90010070800781,112
40.56541061401367,-73.81415557861328,53
40.56541061401367,-73.76831817626953,53
40.57686996459961,-73.86571502685547,112
40.57686996459961,-73.71675109863281,7
40.58259963989258,-74.23241424560547,41
40.58259963989258,-74.00322723388672,132
40.58259963989258,-73.94593048095703,112
40.58832931518555,-74.08344268798828,87
40.58832931518555,-73.82560729980469,53
40.59406280517578,-73.791229248046875,53
40.60551834106445,-74.00322723388672,132
40.61124801635742,-74.22095489501953,41
40.61124801635742,-74.0605239868164,87
40.61124801635742,-73.92301177978516,112
40.61124801635742,-73.77977752685547,53
40.61124801635742,-73.68810272216797,7
40.61124801635742,-73.65372467041016,7
40.62270736694336,-74.203765869140625,41
40.62270736694336,-74.00895690917969,132
40.62270736694336,-73.89437103271484,112
40.62270736694336,-73.77977752685547,53
40.62843704223633,-74.203765869140625,41
40.6341667175293,-73.86571502685547,112
40.6341667175293,-73.83133697509766,53
40.639896392822266,-73.796966552734375,53
40.645626068115234,-74.020416259765625,132
40.66281509399414,-74.026153564453125,283
40.67427444458008,-74.01468658447266,283
40.68000411987305,-73.99176788330078,283
40.69719314575195,-73.9688491821289,283
40.70865249633789,-74.020416259765625,283
40.71438217163086,-74.00322723388672,283
40.72010803222656,-74.026153564453125,283
40.72010803222656,-73.94593048095703,358
40.7258415222168,-73.974578857421875,283
40.737300872802734,-73.9688491821289,283
40.75448989868164,-73.96311950683594,229
40.75448989868164,-73.86571502685547,327
40.760215759277344,-73.8485336303711,81
40.76594543457031,-74.00322723388672,229
40.76594543457031,-73.888641357421875,327
40.77167892456055,-73.91155242919922,327
40.77167892456055,-73.7740478515625,81
40.777408599853516,-73.95166015625,229
40.777408599853516,-73.83133697509766,81
40.777408599853516,-73.76258850097656,81
40.78313446044922,-73.80842590332031,81
40.78886413574219,-73.934478759765625,327
40.79459762573242,-73.974578857421875,229
40.80032730102539,-73.81415557861328,81
40.80032730102539,-73.7568588256836,81
40.80032730102539,-73.73394012451172,11
40.806053161621094,-73.928741455078125,654
40.806053161621094,-73.89437103271484,327
40.806053161621094,-73.72248077392578,11
40.81178283691406,-73.90582275390625,327
40.81178283691406,-73.81415557861328,81
40.8175163269043,-73.6651840209961,11
40.8232421875,-73.934478759765625,327
40.8232421875,-73.81988525390625,81
40.8232421875,-73.659454345703125,11
40.83470153808594,-73.95166015625,229
40.83470153808594,-73.928741455078125,327
40.83470153808594,-73.72248077392578,11
40.83470153808594,-73.659454345703125,11
40.84043502807617,-73.934478759765625,327
40.84043502807617,-73.682373046875,11
40.846160888671875,-73.90582275390625,327
40.846160888671875,-73.705291748046875,11
40.85762023925781,-73.81988525390625,44
40.86907958984375,-73.82560729980469,44
40.886268615722656,-73.80842590332031,44
40.897727966308594,-73.76258850097656,44
40.90345764160156,-73.91728210449219,178
40.90918731689453,-73.91155242919922,178
